Age,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,0,2,1,1,1,2,1,3,0,0,2,1,0,0,1,0,1,0,1,0,0,1,2,1,0, 
1,7,5,6,4,2,3,1,2,4,3,2,4,2,3,3,2,1,6,0,3,1,1,1,3,0, 
2,1,3,1,2,1,2,0,4,1,1,0,2,0,1,1,0,0,1,1,1,3,1,1,2,0, 
3,0,0,2,0,0,1,1,1,2,2,0,2,1,0,1,1,0,0,0,2,0,0,0,1,1, 
4,0,1,4,1,0,0,1,0,0,0,1,3,0,1,0,0,1,0,1,1,0,2,1,1,1, 
5,0,2,1,1,2,1,0,1,2,0,0,0,0,1,2,0,0,1,0,0,0,2,2,0,2, 
6,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0, 
7,1,0,2,2,2,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,2,0,1,0,0, 
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, 
9,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0, 
10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1, 
11,2,2,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,1,0,0,0, 
12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
13,2,2,0,1,1,1,0,0,0,1,0,1,3,1,1,0,2,0,0,1,0,0,0,0,0, 
14,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0, 
15,1,1,1,0,0,1,2,1,0,0,2,0,2,1,1,1,0,0,0,0,1,0,0,2,0, 
16,0,0,1,2,1,0,0,1,8,0,1,1,2,1,2,2,1,0,2,0,1,0,0,0,0, 
17,0,1,0,0,0,2,2,2,1,2,2,1,2,1,1,3,2,2,3,0,2,2,0,1,0, 
18,1,2,3,1,4,2,0,0,1,0,1,0,2,3,2,1,2,0,0,1,1,3,1,2,1, 
19,0,1,1,0,1,2,1,1,2,1,4,1,0,2,4,1,2,1,0,0,0,1,0,1,1, 
20,1,0,0,2,2,1,1,2,1,4,3,0,1,2,0,4,2,2,2,2,1,1,0,1,0, 
21,4,3,4,1,1,1,2,0,4,1,2,3,2,1,2,1,1,5,0,1,1,1,1,0,1, 
22,2,1,1,0,1,3,0,4,1,1,1,2,2,1,2,4,0,2,0,1,3,2,0,0,0, 
23,0,2,2,1,7,1,0,1,0,1,0,1,2,0,2,2,3,1,2,4,4,3,0,0,1, 
24,2,1,2,2,1,0,1,2,0,1,1,1,1,2,2,3,2,4,1,4,2,0,0,2,0, 
25,3,2,3,2,3,1,1,5,1,2,0,2,0,0,1,1,1,1,1,1,0,1,3,3,0, 
26,3,1,2,2,2,2,2,1,3,1,0,2,0,0,1,5,1,2,2,3,0,0,2,1,0, 
27,2,1,1,3,2,0,0,1,0,1,0,1,0,2,0,1,0,3,3,0,1,1,2,0,1, 
28,2,1,2,1,0,1,0,1,1,1,1,1,2,0,1,0,1,0,4,1,1,1,1,2,1, 
29,1,1,1,3,1,0,0,1,1,3,0,0,3,1,1,0,3,4,0,3,0,1,0,1,0, 
30,0,5,3,1,2,1,0,2,0,1,1,2,1,2,1,0,0,2,0,1,1,2,4,0,1, 
31,2,4,2,0,2,2,0,0,0,0,0,1,0,2,0,3,3,2,1,2,3,1,0,2,1, 
32,2,2,0,0,0,1,0,1,3,1,0,3,2,0,1,0,4,0,0,0,1,0,3,2,1, 
33,3,2,2,1,2,0,1,0,2,4,1,1,1,1,2,1,1,0,0,2,2,0,1,0,4, 
34,0,1,3,1,1,1,1,2,1,1,0,0,2,1,0,1,0,1,0,1,0,1,0,2,0, 
35,1,1,3,2,2,0,1,0,1,0,0,2,0,1,1,2,0,4,1,2,3,0,4,2,1, 
36,1,2,1,3,0,3,0,3,4,0,1,1,1,2,1,1,2,1,3,0,2,3,1,0,2, 
37,4,0,0,0,3,1,2,2,2,0,2,3,1,0,1,2,1,0,2,0,1,1,1,4,7, 
