AgeGroup,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
00-04,8,11,14,8,4,8,4,10,7,6,5,12,3,5,6,3,3,7,3,7,4,5,5,8,2, 
05-14,9,7,6,7,7,3,2,3,2,3,1,1,5,6,3,1,4,2,1,4,6,3,6,0,3, 
15-24,11,12,15,9,18,13,9,14,18,11,17,10,16,14,18,22,15,17,10,13,16,13,2,9,4, 
25-34,18,20,19,14,15,9,5,14,12,15,3,13,11,9,8,12,14,15,11,14,9,8,16,13,9, 
35-44,22,12,14,20,17,13,14,10,16,8,11,16,13,11,9,14,10,13,11,9,13,10,20,13,18, 
45-54,11,11,15,11,9,13,14,15,18,19,9,15,12,11,8,8,17,13,13,10,14,17,8,12,13, 
55-64,12,6,14,13,9,9,9,10,12,15,5,14,10,7,10,16,12,12,7,14,11,15,17,21,8, 
65-74,5,8,9,6,7,11,8,3,6,10,6,5,3,6,7,9,7,9,6,10,7,12,19,6,6, 
75+,3,4,6,6,3,4,5,9,4,2,9,5,5,10,3,3,4,7,9,7,4,6,4,9,11, 

